Rank,Player,Team,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
53,Javorius Allen ,FA,41,110,2.7,17,0,3,35,43,196,5.6,2,1,14,93.6,6.7,0.1%
54,Chris Thompson ,JAC,43,178,4.1,16,0,0,41,55,268,6.5,1,0,10,91.6,9.2,4.8%
55,Gus Edwards ,BAL,137,718,5.2,43,4,2,2,2,20,10.0,0,0,11,89.8,8.2,7.3%
56,Jaylen Samuels ,PIT,56,256,4.6,25,1,0,26,29,199,7.7,3,0,14,87.8,6.3,6.0%
57,Devontae Booker ,LV,34,183,5.4,26,1,1,38,51,275,7.2,0,1,16,87.8,5.5,0.4%
58,LeGarrette Blount ,FA,154,418,2.7,27,2,5,10,15,67,6.7,0,1,16,86.5,5.4,0.0%
59,Elijah McGuire ,KC,92,276,3.0,34,1,3,19,31,193,10.2,1,2,8,85.9,10.7,0.1%
60,Jacquizz Rodgers ,FA,33,106,3.2,20,1,1,38,45,304,8.0,0,1,16,83.0,5.2,0.0%
61,Josh Adams ,NYJ,120,511,4.3,29,4,3,7,13,58,8.3,0,1,16,81.9,5.1,0.2%
62,Corey Clement ,PHI,68,259,3.8,32,2,2,22,25,192,8.7,0,0,11,81.1,7.4,0.3%
63,Marshawn Lynch ,FA,90,376,4.2,52,1,3,15,20,84,5.6,0,0,6,79.0,13.2,0.9%
64,Spencer Ware ,FA,51,246,4.8,34,2,2,20,23,224,11.2,0,0,13,79.0,6.1,0.1%
65,Chris Ivory ,FA,115,385,3.3,21,2,1,13,21,206,15.8,0,0,13,78.1,6.0,0.0%
66,Ty Montgomery ,NO,41,188,4.6,16,0,1,25,40,235,9.4,0,1,13,71.2,5.5,0.7%
67,Rashaad Penny ,SEA,85,419,4.9,38,4,2,9,12,75,8.3,0,0,14,70.4,5.0,19.7%
68,Alfred Morris ,FA,111,428,3.9,51,3,2,8,14,73,9.1,0,1,12,68.1,5.7,0.0%
69,Kyle Juszczyk ,SF,8,30,3.8,12,0,0,30,40,324,10.8,1,2,16,67.4,4.2,0.8%
70,C.J. Anderson ,FA,67,403,6.0,46,3,2,5,9,41,8.2,1,0,11,67.4,6.1,0.6%
71,Chase Edmonds ,ARI,60,208,3.5,29,2,2,20,23,103,5.2,0,0,16,63.1,3.9,24.9%
72,Kapri Bibbs ,FA,21,103,4.9,15,0,3,16,23,115,7.2,1,0,12,61.8,5.2,0.0%
73,Justin Jackson ,LAC,50,206,4.1,20,1,2,15,19,135,9.0,0,0,13,61.1,4.7,35.1%
74,Darren Sproles ,FA,29,120,4.1,17,0,1,15,23,160,10.7,2,0,6,61.0,10.2,0.1%
75,Bilal Powell ,FA,80,343,4.3,38,2,0,11,18,110,10.0,1,1,7,60.3,8.6,0.1%
76,Jordan Wilkins ,IND,60,336,5.6,53,1,1,16,17,85,5.3,0,2,16,60.1,3.8,1.1%
77,Zach Zenner ,FA,55,265,4.8,29,1,3,7,10,56,8.0,0,0,8,57.1,7.1,0.1%
78,Kenneth Dixon ,NYJ,60,333,5.6,37,2,2,6,7,51,8.5,0,1,6,54.4,9.1,0.3%
79,Rex Burkhead ,NE,57,186,3.3,12,0,0,14,20,131,9.4,1,1,8,49.7,6.2,2.8%
80,Trenton Cannon ,NYJ,38,113,3.0,21,1,1,17,25,144,8.5,0,0,16,48.7,3.0,0.2%
81,Wayne Gallman ,NYG,51,176,3.5,9,0,1,14,22,89,6.4,0,1,15,44.5,3.0,0.9%
82,Jeff Wilson ,SF,66,266,4.0,18,0,0,12,15,98,8.2,0,2,6,44.4,7.4,0.8%
83,Jay Ajayi ,FA,45,184,4.1,20,1,3,5,6,20,4.0,0,1,4,43.4,10.9,3.6%
84,James Develin ,FA,6,8,1.3,2,0,4,12,18,61,5.1,0,0,16,42.9,2.7,0.0%
85,Malcolm Brown ,LAR,43,212,4.9,19,0,0,5,7,52,10.4,1,0,12,39.4,3.3,9.5%
86,Marcus Murphy ,FA,52,250,4.8,30,1,0,11,19,26,2.4,0,0,11,38.6,3.5,0.0%
87,Raheem Mostert ,SF,34,261,7.7,52,2,1,6,7,25,4.2,0,1,9,38.6,4.3,94.6%
88,Kalen Ballage ,MIA,36,191,5.3,75,1,1,9,11,56,6.2,0,1,12,37.7,3.1,0.9%
89,Rod Smith ,LV,44,127,2.9,14,0,1,9,12,60,6.7,0,0,16,33.7,2.1,0.2%
90,Brandon Bolden ,NE,8,91,11.4,54,1,2,3,3,13,4.3,1,1,16,29.4,1.8,0.1%
91,Andy Janovich ,CLE,2,5,2.5,3,0,0,8,10,112,14.0,1,0,16,25.7,1.6,0.1%
92,Anthony Sherman ,KC,1,2,2.0,2,0,0,8,9,96,12.0,1,0,16,23.8,1.5,0.1%
93,Taquan Mizzell ,NO,9,16,1.8,7,0,0,8,10,78,9.8,1,0,9,23.4,2.6,0.0%
94,Zach Line ,FA,9,41,4.6,9,0,0,5,10,14,2.8,2,0,16,22.5,1.4,0.0%
95,Ronald Jones II ,TB,23,44,1.9,9,0,1,7,9,33,4.7,0,0,9,20.7,2.3,86.8%
96,CJ Ham ,MIN,6,8,1.3,5,0,0,11,15,85,7.7,0,0,15,20.3,1.4,0.1%
97,Corey Grant ,FA,13,40,3.1,8,0,0,9,12,67,7.4,0,0,5,19.7,3.9,0.0%
98,Dontrell Hilliard ,CLE,0,0,0.0,0,0,0,9,10,105,11.7,0,0,11,17.5,1.6,0.5%
