Rank,Player,Team,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_,Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
1,Travis Kelce ,KC,103,150,1336,13.0,43,18,10,0,0,0,1,16,294.6,18.4,100.0%
2,Zach Ertz ,PHI,116,156,1163,10.0,34,13,8,0,0,0,0,16,280.3,17.5,99.3%
3,George Kittle ,SF,88,135,1377,15.6,85,20,5,1,10,0,0,16,258.7,16.2,99.9%
4,Eric Ebron ,PIT,66,110,750,11.4,53,7,13,3,-8,1,1,16,222.2,13.9,44.7%
5,Jared Cook ,NO,68,101,896,13.2,45,15,6,0,0,0,0,16,193.6,12.1,93.9%
6,Austin Hooper ,CLE,71,88,660,9.3,36,7,4,0,0,0,0,16,163.0,10.2,86.7%
7,Kyle Rudolph ,MIN,64,82,634,9.9,44,6,4,0,0,0,0,16,151.4,9.5,17.1%
8,Trey Burton ,IND,54,76,569,10.5,47,7,6,1,2,0,1,16,147.1,9.2,1.9%
9,David Njoku ,CLE,56,88,639,11.4,66,9,4,0,0,0,0,16,143.9,9.0,6.2%
10,Vance McDonald ,PIT,50,72,610,12.2,75,6,4,0,0,0,1,15,133.0,8.9,3.3%
11,Rob Gronkowski ,TB,47,72,682,14.5,42,8,3,0,0,0,1,13,131.2,10.1,93.7%
12,Jimmy Graham ,CHI,55,90,636,11.6,54,7,2,0,0,0,0,16,130.6,8.2,8.8%
13,Evan Engram ,NYG,45,64,577,12.8,54,8,3,3,36,0,0,11,126.3,11.5,94.4%
14,O.J. Howard ,TB,34,48,565,16.6,75,11,5,0,0,0,0,10,120.5,12.1,35.9%
15,Jordan Reed ,FA,54,84,558,10.3,34,7,2,0,0,0,1,13,119.8,9.2,0.8%
16,Chris Herndon IV ,NYJ,39,56,502,12.9,32,9,4,0,0,0,0,16,113.2,7.1,40.8%
17,Mark Andrews ,BAL,34,50,552,16.2,74,8,3,0,0,0,0,16,107.2,6.7,99.3%
18,C.J. Uzomah ,CIN,43,66,439,10.2,29,6,3,0,0,0,0,16,104.9,6.6,1.7%
19,Cameron Brate ,TB,30,49,289,9.6,21,2,6,0,0,0,1,16,92.9,5.8,2.6%
20,Dallas Goedert ,PHI,33,42,334,10.1,32,5,4,0,0,0,0,16,90.4,5.7,56.0%
21,Benjamin Watson ,FA,35,46,400,11.4,32,6,2,0,0,0,0,16,87.0,5.4,2.8%
22,Gerald Everett ,LAR,33,50,320,9.7,40,4,3,2,16,0,0,16,86.6,5.4,10.2%
23,Jesse James ,DET,30,39,423,14.1,51,8,2,0,0,0,0,16,84.3,5.3,0.2%
24,Ian Thomas ,CAR,36,49,333,9.3,31,4,2,0,0,0,0,16,81.3,5.1,26.3%
25,Greg Olsen ,SEA,27,38,291,10.8,23,2,4,0,0,0,0,9,80.1,8.9,35.5%
26,Blake Jarwin ,DAL,27,36,307,11.4,39,3,3,0,0,0,0,16,75.7,4.7,35.9%
27,Vernon Davis ,FA,25,36,367,14.7,53,8,2,0,0,0,0,14,75.7,5.4,1.6%
28,Antonio Gates ,FA,28,45,333,11.9,27,5,2,0,0,0,1,16,75.3,4.7,0.2%
29,Ricky Seals-Jones ,KC,34,70,343,10.1,40,5,1,0,0,0,0,15,74.3,5.0,0.6%
30,Nick Vannett ,DEN,29,43,269,9.3,32,1,3,0,0,0,0,15,73.9,4.9,0.1%
31,Jeff Heuerman ,DEN,31,48,281,9.1,36,2,2,0,0,0,0,11,71.1,6.5,0.1%
32,Tyler Higbee ,LAR,24,33,292,12.2,36,3,2,0,0,0,0,16,65.2,4.1,93.0%
33,Jonnu Smith ,TEN,20,30,258,12.9,61,3,3,0,0,0,0,13,63.8,4.9,45.0%
34,Jordan Thomas ,HOU,20,27,215,10.8,39,2,4,0,0,0,0,16,61.8,3.9,0.1%
35,Jack Doyle ,IND,26,33,245,9.4,20,1,2,0,0,0,1,6,60.5,10.1,57.4%
36,Rhett Ellison ,FA,25,35,272,10.9,29,2,1,0,0,0,0,14,60.2,4.3,0.0%
37,Geoff Swaim ,FA,26,32,242,9.3,43,3,1,0,0,0,0,9,56.2,6.2,0.0%
38,Matt LaCosse ,NE,24,37,250,10.4,44,1,1,0,0,0,0,15,55.0,3.7,0.2%
39,Ryan Griffin ,NYJ,24,43,305,12.7,47,3,0,0,0,0,0,14,54.5,3.9,1.3%
40,Levine Toilolo ,NYG,21,24,263,12.5,39,2,1,0,0,0,0,16,53.3,3.3,0.1%
41,Jason Croom ,BUF,22,35,259,11.8,26,5,1,0,0,0,2,15,49.9,3.3,0.0%
42,Demetrius Harris ,CHI,12,25,164,13.7,35,2,3,0,0,0,0,15,46.4,3.1,0.1%
43,Virgil Green ,LAC,19,27,210,11.1,26,5,1,0,0,0,0,16,46.0,2.9,0.1%
44,James O'Shaughnessy ,JAC,24,38,214,8.9,17,0,0,0,0,0,0,14,45.4,3.2,0.1%
45,Ed Dickson ,FA,12,13,143,11.9,42,2,3,1,9,0,0,10,45.2,4.5,0.0%
46,Nick Boyle ,BAL,23,37,213,9.3,25,1,0,0,0,0,0,16,44.3,2.8,0.7%
47,Luke Stocker ,FA,15,21,165,11.0,31,2,2,1,0,0,0,16,43.5,2.7,0.0%
48,Lance Kendricks ,FA,19,26,170,8.9,22,2,1,0,0,0,0,16,42.0,2.6,0.0%
49,Darren Fells ,HOU,11,12,117,10.6,49,1,3,0,0,0,0,16,40.7,2.5,3.4%
50,Josh Hill ,NO,16,24,185,11.6,23,4,1,0,0,0,0,16,40.5,2.5,0.2%
51,Mike Gesicki ,MIA,22,32,202,9.2,27,1,0,0,0,0,1,16,40.2,2.5,69.9%
