Rank,Player,Team,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_,Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
49,Danny Amendola ,DET,62,97,678,10.9,47,6,1,0,0,0,0,15,140.6,9.4,4.2%
50,Sammy Watkins ,KC,52,90,673,12.9,68,9,3,2,12,0,1,14,138.5,9.9,52.2%
51,Breshad Perriman ,NYJ,36,69,645,17.9,44,15,6,2,16,0,0,14,138.1,9.9,40.9%
52,Zach Pascal ,IND,41,72,607,14.8,37,11,5,2,16,0,0,16,135.3,8.5,4.4%
53,Will Fuller ,HOU,49,71,670,13.7,54,10,3,0,0,0,0,11,134.0,12.2,85.1%
54,Hunter Renfrow ,LV,49,71,605,12.3,65,7,4,0,0,0,0,13,133.5,10.3,35.2%
55,James Washington ,PIT,44,80,735,16.7,79,13,3,0,0,0,1,15,133.5,8.9,25.6%
56,Anthony Miller ,CHI,52,85,656,12.6,35,11,2,1,-1,0,1,16,127.5,8.0,42.4%
57,T.Y. Hilton ,IND,45,68,501,11.1,35,6,5,0,0,0,0,10,125.1,12.5,95.2%
58,Mohamed Sanu ,NE,59,89,520,8.8,28,3,2,3,11,0,0,15,124.1,8.3,5.7%
59,Alshon Jeffery ,PHI,43,73,490,11.4,38,6,4,1,2,1,0,10,122.2,12.2,45.8%
60,Kenny Stills ,HOU,40,55,561,14.0,45,9,4,0,0,0,0,13,120.1,9.2,12.9%
61,Mecole Hardman ,KC,26,41,538,20.7,83,9,6,4,17,0,2,16,119.5,7.5,57.9%
62,Brandin Cooks ,HOU,42,72,583,13.9,57,9,2,6,52,0,0,14,117.5,8.4,86.1%
63,Corey Davis ,TEN,43,69,601,14.0,38,10,2,0,0,0,0,15,115.1,7.7,8.7%
64,Adam Thielen ,MIN,30,48,418,13.9,44,8,6,4,6,1,0,10,114.4,11.4,99.2%
65,JuJu Smith-Schuster ,PIT,42,70,552,13.1,76,7,3,0,0,0,1,12,113.2,9.4,99.0%
66,Steven Sims ,WAS,34,56,310,9.1,65,2,4,9,85,1,0,16,109.5,6.8,5.2%
67,Allen Lazard ,GB,35,52,477,13.6,43,6,3,1,21,0,0,16,102.8,6.4,20.3%
68,Auden Tate ,CIN,40,80,575,14.4,33,8,1,0,0,0,1,13,101.5,7.8,2.1%
69,Demarcus Robinson ,KC,32,55,449,14.0,44,7,4,0,0,0,0,16,100.9,6.3,2.9%
70,Phillip Dorsett ,SEA,29,54,397,13.7,58,6,5,3,21,0,0,14,100.8,7.2,2.5%
71,Russell Gage ,ATL,49,74,446,9.1,19,0,1,4,12,0,1,16,98.8,6.2,4.0%
72,Kendrick Bourne ,SF,30,44,358,11.9,30,4,5,0,0,0,0,16,97.8,6.1,1.7%
73,Alex Erickson ,CIN,43,78,529,12.3,52,5,0,5,33,0,2,16,96.2,6.0,0.6%
74,Willie Snead ,BAL,31,46,339,10.9,50,4,5,2,2,0,0,16,95.1,5.9,1.8%
75,John Ross ,CIN,28,56,506,18.1,66,10,3,3,4,0,1,8,95.0,11.9,21.0%
76,Nelson Agholor ,LV,39,69,363,9.3,43,5,3,2,7,0,1,11,94.0,8.5,2.2%
77,Preston Williams ,MIA,32,60,428,13.4,35,6,3,0,0,0,1,8,90.8,11.4,57.6%
78,Taylor Gabriel ,FA,29,48,353,12.2,53,4,4,3,20,0,0,9,90.3,10.0,1.3%
79,Albert Wilson ,MIA,43,62,351,8.2,35,4,1,5,45,0,0,13,89.4,6.9,1.9%
80,Adam Humphries ,TEN,37,47,374,10.1,30,4,2,1,1,0,0,12,86.5,7.2,2.2%
81,Ted Ginn ,CHI,30,56,421,14.0,45,7,2,3,18,0,0,16,85.9,5.4,1.7%
82,Demaryius Thomas ,FA,36,58,433,12.0,47,4,1,0,0,0,0,11,85.3,7.8,0.7%
83,Marquez Valdes-Scantling ,GB,26,56,452,17.4,74,7,2,2,9,0,0,16,84.1,5.3,2.7%
84,Allen Hurns ,MIA,32,47,416,13.0,27,4,2,0,0,0,1,14,83.6,6.0,0.9%
85,Tajae Sharpe ,MIN,25,35,329,13.2,47,4,4,0,0,0,0,15,81.9,5.5,0.9%
86,Olabisi Johnson ,MIN,31,45,294,9.5,23,1,3,1,6,0,0,16,79.0,4.9,0.8%
87,Keelan Cole ,JAC,24,36,361,15.0,55,5,3,1,6,0,0,16,78.7,4.9,0.7%
88,Geronimo Allison ,DET,34,55,287,8.4,31,3,2,1,7,0,1,16,75.4,4.7,1.3%
89,Josh Gordon ,FA,27,47,426,15.8,58,8,1,1,1,0,0,11,74.7,6.8,2.8%
90,Damiere Byrd ,NE,32,46,359,11.2,58,3,1,0,0,0,1,11,71.9,6.5,0.1%
91,Tre'Quan Smith ,NO,18,25,234,13.0,32,3,5,0,0,0,0,11,71.4,6.5,2.9%
92,Kelvin Harmon ,WAS,30,44,365,12.2,30,8,0,0,0,0,0,16,66.9,4.2,2.4%
93,Cody Latimer ,WAS,24,42,300,12.5,43,4,2,0,0,0,0,15,66.0,4.4,0.1%
94,Paul Richardson Jr. ,FA,28,42,245,8.8,22,1,2,1,0,0,0,10,64.5,6.5,0.7%
95,DaeSean Hamilton ,DEN,28,52,297,10.6,28,4,1,0,0,0,0,16,63.7,4.0,1.5%
96,Isaiah McKenzie ,BUF,27,39,254,9.4,46,3,1,8,49,0,0,15,63.3,4.2,0.1%
97,Jakobi Meyers ,NE,26,41,359,13.8,35,9,0,0,0,0,0,15,61.9,4.1,1.5%
98,Josh Reynolds ,LAR,21,43,326,15.5,31,8,1,5,23,0,0,16,61.9,3.9,6.0%
99,Seth Roberts ,CAR,21,35,271,12.9,33,3,2,0,0,0,0,16,60.1,3.8,0.1%
100,Greg Ward ,PHI,28,40,254,9.1,38,1,1,1,5,0,0,7,59.9,8.6,0.8%
101,David Moore ,SEA,17,34,301,17.7,60,5,2,3,25,0,1,15,59.6,4.0,1.0%
102,Jarius Wright ,FA,28,58,296,10.6,33,3,0,1,-7,0,0,16,56.9,3.6,0.0%
103,Marcus Johnson ,IND,17,33,277,16.3,50,3,2,0,0,0,0,9,56.7,6.3,0.1%
104,Pharoh Cooper ,CAR,25,33,243,9.7,28,4,1,1,2,0,0,13,55.5,4.3,0.1%
105,Keke Coutee ,HOU,22,36,254,11.5,51,4,0,2,14,1,1,10,52.8,5.3,1.4%
106,Trey Quinn ,WAS,26,47,198,7.6,19,0,1,0,0,0,1,12,51.8,4.3,0.7%
107,Miles Boykin ,BAL,13,22,198,15.2,50,2,3,0,0,0,0,16,50.8,3.2,4.2%
108,Zay Jones ,LV,27,45,216,8.0,23,2,0,1,3,0,0,15,48.9,3.3,0.7%
109,Vyncint Smith ,NYJ,17,31,225,13.2,37,4,0,3,52,1,1,14,48.7,3.5,0.1%
110,Isaiah Ford ,MIA,23,35,244,10.6,28,2,0,1,11,0,0,9,48.5,5.4,0.1%
111,Jaron Brown ,FA,16,28,220,13.8,48,3,2,0,0,0,1,14,48.0,3.4,0.1%
112,Tavon Austin ,FA,13,24,177,13.6,59,2,1,6,47,1,0,14,47.4,3.4,0.0%
113,Bennie Fowler III ,FA,23,36,193,8.4,17,0,0,1,20,0,0,8,46.3,5.8,0.1%
114,KeeSean Johnson ,ARI,21,42,187,8.9,31,1,1,1,3,0,1,10,46.0,4.6,0.7%
115,Jakeem Grant ,MIA,19,33,164,8.6,18,0,0,4,5,1,1,10,45.9,4.6,0.8%
116,Chester Rogers ,FA,16,28,179,11.2,27,2,2,1,18,0,1,12,45.7,3.8,0.0%
117,Malik Turner ,FA,15,22,245,16.3,33,6,1,0,0,0,0,15,45.5,3.0,0.0%
118,Justin Watson ,TB,15,26,159,10.6,17,0,2,0,0,0,0,16,42.9,2.7,0.7%
119,Javon Wims ,CHI,18,39,186,10.3,37,1,1,0,0,0,0,16,42.6,2.7,0.3%
120,Scott Miller ,TB,13,26,200,15.4,48,3,1,2,16,0,0,10,40.6,4.1,1.0%
121,Jake Kumerow ,GB,12,21,219,18.3,49,3,1,0,0,0,0,14,39.9,2.9,0.3%
122,Marvin Hall ,DET,7,11,261,37.3,58,6,1,1,7,0,0,9,39.8,4.4,0.0%
123,N'Keal Harry ,NE,12,24,105,8.8,18,0,2,5,49,0,0,7,39.4,5.6,52.9%
124,Justin Hardy ,FA,19,26,195,10.3,23,2,0,0,0,0,0,16,38.5,2.4,0.0%
125,Parris Campbell ,IND,18,24,127,7.1,27,1,1,4,34,0,1,7,38.1,5.4,20.5%
126,Marquise Goodwin ,PHI,12,21,186,15.5,38,3,1,1,15,0,0,9,38.1,4.2,1.7%
127,Damion Ratley ,CLE,12,24,200,16.7,46,4,1,0,0,0,0,13,38.0,2.9,0.1%
128,Tim Patrick ,DEN,16,31,218,13.6,38,3,0,0,0,0,0,8,37.8,4.7,0.5%
129,DeSean Jackson ,PHI,9,10,159,17.7,53,2,2,0,0,0,0,3,36.9,12.3,51.7%
130,Cordarrelle Patterson ,CHI,11,17,83,7.5,33,1,0,17,103,0,0,16,35.6,2.2,0.7%
131,Andy Isabella ,ARI,9,13,189,21.0,88,2,1,4,15,0,0,15,35.4,2.4,4.4%
132,Byron Pringle ,KC,12,16,170,14.2,28,3,1,0,0,0,0,16,35.0,2.2,0.2%
133,Duke Williams ,BUF,12,19,166,13.8,41,3,1,0,0,0,0,4,34.6,8.7,0.1%
134,Dante Pettis ,SF,11,24,109,9.9,21,2,2,0,0,0,0,11,34.5,3.1,1.4%
135,Laquon Treadwell ,ATL,9,16,184,20.4,58,3,1,0,0,0,0,14,33.4,2.4,0.3%
136,J.J. Arcega-Whiteside ,PHI,10,22,169,16.9,30,4,1,0,0,0,0,16,32.9,2.1,3.6%
137,Dontrelle Inman ,FA,12,21,181,15.1,28,4,0,0,0,0,0,7,30.1,4.3,0.0%
138,Kalif Raymond ,TEN,9,12,170,18.9,52,3,1,1,-5,0,1,8,29.5,3.7,0.1%
139,Trevor Davis ,CHI,8,11,111,13.9,28,2,0,4,73,1,2,14,28.4,2.0,0.0%
140,Richie James ,SF,6,10,165,27.5,57,3,1,2,-1,0,1,16,26.4,1.7,0.1%
141,DeAndre Carter ,HOU,11,14,162,14.7,46,4,0,0,0,0,1,16,25.2,1.6,0.1%
142,Keelan Doss ,LV,11,14,133,12.1,31,1,0,0,0,0,0,8,24.3,3.0,0.1%
143,Mack Hollins ,MIA,10,23,125,12.5,20,1,0,0,0,0,0,16,22.5,1.4,0.0%
144,Devin Smith ,DAL,5,9,113,22.6,51,2,1,0,0,0,0,4,22.3,5.6,0.2%
145,Deon Cain ,PIT,9,20,124,13.8,35,3,0,0,0,0,0,13,21.4,1.6,0.2%
146,Christian Blake ,ATL,11,24,91,8.3,13,0,0,0,0,0,0,9,20.1,2.2,0.1%
147,Brandon Zylstra ,CAR,8,12,106,13.3,40,2,0,0,0,0,0,8,18.6,2.3,0.0%
148,Damion Willis ,CIN,9,16,82,9.1,17,0,0,0,0,0,0,10,17.2,1.7,0.0%
149,Antonio Callaway ,FA,8,15,89,11.1,41,1,0,0,0,0,0,5,16.9,3.4,0.2%
150,Antonio Brown ,FA,4,8,56,14.0,20,1,1,1,5,0,0,1,16.1,16.1,23.3%
151,Braxton Berrios ,NYJ,6,13,115,19.2,69,2,0,0,0,0,1,16,15.5,1.0,0.1%
152,Rashard Higgins ,CLE,4,11,55,13.8,35,1,1,0,0,0,0,10,15.5,1.6,0.7%
153,Deonte Harris ,NO,6,6,24,4.0,13,0,0,4,31,0,1,14,15.5,1.1,0.6%
154,Chris Hogan ,FA,8,15,67,8.4,13,0,0,0,0,0,0,7,14.7,2.1,0.1%
155,Marcell Ateman ,LV,5,10,116,23.2,36,3,0,0,0,0,1,11,14.6,1.3,0.0%
156,J.J. Nelson ,FA,4,5,36,9.0,29,1,1,0,0,0,0,2,13.6,6.8,0.1%
157,Riley Ridley ,CHI,6,7,69,11.5,32,1,0,0,0,0,0,5,12.9,2.6,0.9%
158,TJ Jones ,FA,3,4,38,12.7,28,1,1,0,0,0,0,3,12.8,4.3,0.0%
159,Robert Foster ,BUF,3,18,64,21.3,24,3,0,2,29,0,0,13,12.3,0.9,0.2%
160,Trent Sherfield ,ARI,4,13,80,20.0,38,2,0,0,0,0,0,16,12.0,0.8,0.0%
161,Andre Patton ,LAC,6,17,56,9.3,15,0,0,0,0,0,0,12,11.6,1.0,0.0%
162,Khadarel Hodge ,CLE,4,10,76,19.0,41,1,0,0,0,0,0,16,11.6,0.7,0.0%
163,Ryan Switzer ,PIT,8,11,27,3.4,8,0,0,0,0,0,0,9,10.7,1.2,0.1%
164,Tevin Jones ,DAL,4,10,61,15.3,28,1,0,0,0,0,0,5,10.1,2.0,0.0%
165,Cedrick Wilson ,DAL,5,8,46,9.2,14,0,0,0,0,0,0,6,9.6,1.6,0.1%
166,DeAndrew White ,CAR,4,9,51,12.8,18,0,0,0,0,0,0,10,9.1,0.9,0.0%
167,Travis Benjamin ,SF,6,16,30,5.0,13,0,0,0,0,0,0,5,9.0,1.8,0.2%
168,Chad Beebe ,MIN,2,2,70,35.0,61,1,0,0,0,0,0,3,9.0,3.0,0.1%
169,Chris Lacy ,DET,3,10,60,20.0,48,1,0,0,0,0,0,7,9.0,1.3,0.0%
170,Ventell Bryant ,DAL,1,1,15,15.0,15,0,1,0,0,0,0,12,8.5,0.7,0.1%
171,Diontae Spencer ,DEN,6,8,31,5.2,20,1,0,3,6,0,1,16,7.7,0.5,0.0%
172,Jordan Matthews ,FA,4,12,33,8.3,10,0,0,0,0,0,0,3,7.3,2.4,0.0%
173,Geremy Davis ,DET,3,3,38,12.7,19,0,0,0,0,0,0,8,6.8,0.9,0.0%
174,Deontay Burnett ,PHI,2,4,48,24.0,41,1,0,0,0,0,0,2,6.8,3.4,0.0%
175,Alexander Hollins ,MIN,2,4,46,23.0,35,1,0,0,0,0,0,5,6.6,1.3,0.0%
176,Jason Moore ,LAC,2,5,43,21.5,32,1,0,0,0,0,0,10,6.3,0.6,0.0%
177,Michael Crabtree ,FA,4,5,22,5.5,9,0,0,0,0,0,0,3,6.2,2.1,0.2%
178,Devin Funchess ,GB,3,5,32,10.7,16,0,0,0,0,0,0,1,6.2,6.2,17.1%
179,Johnny Holton ,FA,3,15,21,7.0,18,0,0,1,9,0,0,16,6.0,0.4,0.0%
180,Donte Moncrief ,FA,4,15,18,4.5,11,0,0,0,0,0,0,8,5.8,0.7,3.1%
181,Cody Core ,NYG,3,5,28,9.3,11,0,0,0,0,0,0,16,5.8,0.4,0.0%
182,Andre Roberts ,BUF,3,7,20,6.7,7,0,0,1,7,0,0,13,5.7,0.4,0.0%
183,Steven Mitchell Jr. ,HOU,2,6,37,18.5,21,1,0,0,0,0,0,4,5.7,1.4,0.0%
184,Russell Shepard ,FA,3,8,25,8.3,12,0,0,0,0,0,0,3,5.5,1.8,0.0%
185,Ishmael Hyman ,CAR,2,4,34,17.0,31,1,0,0,0,0,0,2,5.4,2.7,0.0%
186,Ryan Grant ,FA,4,9,14,3.5,9,0,0,0,0,0,0,2,5.4,2.7,0.0%
187,C.J. Board ,JAC,2,4,31,15.5,23,1,0,0,0,0,0,4,5.1,1.3,0.0%
188,Chris Moore ,BAL,3,5,21,7.0,13,0,0,1,0,0,0,14,5.1,0.4,0.0%
189,Marqise Lee ,NE,3,4,18,6.0,8,0,0,1,1,0,0,6,4.9,0.8,2.3%
190,Stanley Morgan Jr. ,CIN,3,10,18,6.0,9,0,0,0,0,0,0,11,4.8,0.4,0.0%
191,Cam Sims ,WAS,2,3,27,13.5,15,0,0,0,0,0,0,8,4.7,0.6,0.0%
