Rank,Player,Team,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
1,Christian McCaffrey ,CAR,287,1387,4.8,84,6,15,116,142,1005,8.7,4,0,16,471.2,29.5,100.0%
2,Aaron Jones ,GB,236,1084,4.6,56,5,16,49,68,474,9.7,3,2,16,314.8,19.7,99.9%
3,Ezekiel Elliott ,DAL,301,1357,4.5,33,4,12,54,71,420,7.8,2,2,16,311.7,19.5,100.0%
4,Austin Ekeler ,LAC,132,557,4.2,35,4,3,92,108,993,10.8,8,2,16,309.0,19.3,99.2%
5,Derrick Henry ,TEN,303,1540,5.1,74,9,16,18,24,206,11.4,2,3,15,294.6,19.6,99.9%
6,Dalvin Cook ,MIN,250,1135,4.5,75,7,13,53,63,519,9.8,0,2,14,292.4,20.9,99.9%
7,Leonard Fournette ,JAC,265,1152,4.3,81,7,3,76,100,522,6.9,0,1,15,259.4,17.3,97.5%
8,Nick Chubb ,CLE,298,1494,5.0,88,11,8,36,49,278,7.7,0,3,16,255.2,16.0,99.8%
9,Alvin Kamara ,NO,171,797,4.7,40,5,5,81,97,533,6.6,1,1,14,248.5,17.8,100.0%
10,Saquon Barkley ,NYG,217,1003,4.6,68,8,6,52,73,438,8.4,2,0,13,244.1,18.8,100.0%
11,Mark Ingram II ,BAL,202,1018,5.0,53,6,10,26,29,247,9.5,5,2,15,242.5,16.2,95.7%
12,Chris Carson ,SEA,278,1230,4.4,59,8,7,37,47,266,7.2,2,4,15,232.6,15.5,97.4%
13,Joe Mixon ,CIN,278,1137,4.1,41,6,5,35,45,287,8.2,3,0,16,225.4,14.1,99.6%
14,Todd Gurley ,ATL,223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,219.4,14.6,98.5%
15,Miles Sanders ,PHI,179,818,4.6,65,5,3,50,63,509,10.2,3,1,16,218.7,13.7,98.6%
16,Le'Veon Bell ,NYJ,245,789,3.2,19,0,3,66,78,461,7.0,1,1,15,215.0,14.3,97.0%
17,Kenyan Drake ,ARI,170,817,4.8,80,4,8,50,68,345,6.9,0,1,14,214.2,15.3,99.2%
18,James White ,NE,67,263,3.9,32,1,1,72,95,645,9.0,5,1,15,200.2,13.3,80.9%
