Rank,Player,Team,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
19,Phillip Lindsay ,DEN,224,1011,4.5,40,7,7,35,48,196,5.6,0,0,16,197.7,12.4,81.2%
20,Devonta Freeman ,FA,184,656,3.6,28,3,2,59,70,410,6.9,4,2,14,197.6,14.1,39.4%
21,Josh Jacobs ,LV,242,1150,4.8,51,8,7,20,27,166,8.3,0,1,13,191.6,14.7,99.2%
22,Marlon Mack ,IND,247,1091,4.4,63,9,8,14,17,82,5.9,0,0,14,181.3,13.0,86.8%
23,Melvin Gordon ,DEN,162,612,3.8,24,2,8,42,55,296,7.0,1,3,12,180.8,15.1,97.3%
24,David Montgomery ,CHI,242,889,3.7,55,3,6,25,35,185,7.4,1,2,16,170.4,10.7,92.1%
25,Ronald Jones II ,TB,172,724,4.2,49,6,6,31,40,309,10.0,0,2,16,166.3,10.4,86.8%
26,Raheem Mostert ,SF,137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,165.2,10.3,94.6%
27,Tarik Cohen ,CHI,64,213,3.3,19,0,0,79,104,456,5.8,3,0,16,163.9,10.2,76.2%
28,Latavius Murray ,NO,146,637,4.4,30,3,5,34,43,235,6.9,1,0,16,157.2,9.8,62.6%
29,Duke Johnson ,HOU,83,410,4.9,40,3,2,44,62,410,9.3,3,1,16,154.0,9.6,47.3%
30,Carlos Hyde ,SEA,245,1070,4.4,58,8,6,10,16,42,4.2,0,2,16,153.2,9.6,14.9%
31,Sony Michel ,NE,247,912,3.7,26,3,7,12,20,94,7.8,0,1,16,152.6,9.5,79.5%
32,Devin Singletary ,BUF,151,775,5.1,38,7,2,29,41,194,6.7,2,1,12,147.9,12.3,95.4%
33,Adrian Peterson ,WAS,211,898,4.3,32,6,5,17,23,142,8.4,0,2,16,147.0,9.2,27.9%
34,Jamaal Williams ,GB,107,460,4.3,45,1,1,39,45,253,6.5,5,0,14,146.3,10.5,17.9%
35,James Conner ,PIT,116,464,4.0,25,2,4,34,38,251,7.4,3,1,10,145.5,14.6,94.1%
36,Royce Freeman ,DEN,132,496,3.8,26,1,3,43,50,256,6.0,1,0,16,142.2,8.9,14.2%
37,David Johnson ,HOU,94,345,3.7,18,0,2,36,47,370,10.3,4,1,13,141.5,10.9,94.6%
38,Damien Williams ,KC,111,498,4.5,91,2,5,30,37,213,7.1,2,1,11,141.1,12.8,82.1%
39,Tevin Coleman ,SF,137,544,4.0,48,4,6,21,30,180,8.6,1,0,14,135.4,9.7,55.5%
40,DeAndre Washington ,KC,108,387,3.6,36,1,3,36,41,292,8.1,0,0,16,121.9,7.6,2.2%
41,LeSean McCoy ,FA,101,465,4.6,39,4,4,28,34,181,6.5,1,2,13,118.6,9.1,2.2%
42,Nyheim Hines ,IND,52,199,3.8,18,0,2,44,58,320,7.3,0,1,16,117.9,7.4,22.7%
43,Peyton Barber ,WAS,154,470,3.1,17,0,6,16,24,115,7.2,1,1,16,116.5,7.3,2.6%
44,Jordan Howard ,MIA,119,525,4.4,20,1,6,10,14,69,6.9,1,0,10,111.4,11.1,77.6%
45,Jaylen Samuels ,PIT,66,175,2.7,13,0,1,47,57,305,6.5,1,1,14,105.4,7.5,6.0%
46,Matt Breida ,MIA,123,623,5.1,83,4,1,19,22,120,6.3,1,1,13,103.3,7.9,65.7%
47,Kareem Hunt ,CLE,43,179,4.2,16,0,2,37,44,285,7.7,1,0,9,101.4,11.3,90.7%
48,Rex Burkhead ,NE,65,302,4.6,33,1,3,27,38,279,10.3,0,1,13,101.1,7.8,2.8%
49,Boston Scott ,PHI,61,245,4.0,25,1,5,24,26,204,8.5,0,1,11,96.9,8.8,49.3%
50,Frank Gore ,NYJ,166,599,3.6,41,4,2,13,16,100,7.7,0,0,16,94.9,5.9,3.0%
51,Chris Thompson ,JAC,37,138,3.7,16,0,0,42,58,378,9.0,0,0,11,93.6,8.5,4.8%
52,Gus Edwards ,BAL,133,711,5.3,63,5,2,7,7,45,6.4,0,1,16,92.6,5.8,7.3%
53,Tony Pollard ,DAL,86,455,5.3,44,4,2,15,20,107,7.1,1,1,15,89.2,5.9,40.8%
54,Kerryon Johnson ,DET,113,403,3.6,20,1,3,10,15,127,12.7,1,1,8,85.0,10.6,85.7%
55,J.D. McKissic ,WAS,38,205,5.4,44,2,0,34,42,233,6.9,1,0,16,83.8,5.2,0.8%
56,Chase Edmonds ,ARI,60,303,5.1,37,4,4,12,21,105,8.8,1,0,13,82.8,6.4,24.9%
57,Jalen Richard ,LV,39,145,3.7,13,0,0,36,43,323,9.0,0,0,16,82.8,5.2,2.9%
58,Rashaad Penny ,SEA,65,370,5.7,58,4,3,8,11,83,10.4,1,1,10,75.3,7.5,19.7%
59,Dare Ogunbowale ,TB,11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,75.3,4.7,2.4%
60,Alexander Mattison ,MIN,100,462,4.6,35,4,1,10,12,82,8.2,0,1,13,68.4,5.3,55.1%
61,Giovani Bernard ,CIN,53,170,3.2,25,1,0,30,43,234,7.8,0,1,16,68.4,4.3,6.2%
62,Patrick Laird ,MIA,62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,68.2,4.5,1.3%
63,Darrel Williams ,KC,41,141,3.4,41,1,3,15,20,167,11.1,1,1,9,67.8,7.5,1.4%
64,Brian Hill ,ATL,78,323,4.1,27,2,2,10,14,69,6.9,1,0,12,67.2,5.6,1.6%
65,Dion Lewis ,NYG,54,209,3.9,17,0,0,25,32,164,6.6,1,1,16,66.3,4.1,3.2%
66,Ty Johnson ,DET,63,273,4.3,40,1,0,24,31,109,4.5,0,1,16,60.2,3.8,0.7%
67,Malcolm Brown ,LAR,69,255,3.7,17,0,5,2,6,16,8.0,0,0,14,59.1,4.2,9.5%
68,Benny Snell Jr. ,PIT,108,426,3.9,23,3,2,3,4,23,7.7,0,1,13,57.9,4.5,5.5%
69,Derrius Guice ,WAS,42,245,5.8,60,3,2,7,9,79,11.3,1,0,5,57.4,11.5,79.8%
70,Jordan Wilkins ,IND,51,307,6.0,55,2,2,7,11,43,6.1,0,0,14,54.0,3.9,1.1%
71,Kalen Ballage ,MIA,74,135,1.8,8,0,3,14,24,63,4.5,0,0,12,51.8,4.3,0.9%
72,Ryquell Armstead ,JAC,35,108,3.1,16,0,0,14,24,144,10.3,2,0,16,51.2,3.2,7.9%
73,Brandon Bolden ,NE,15,68,4.5,21,1,3,9,11,111,12.3,1,0,15,50.9,3.4,0.1%
74,Kyle Juszczyk ,SF,3,7,2.3,6,0,0,20,24,239,12.0,1,0,12,50.6,4.2,0.8%
75,Mike Boone ,MIN,49,273,5.6,59,3,3,3,4,17,5.7,0,0,16,50.0,3.1,2.3%
76,Justice Hill ,BAL,58,225,3.9,18,0,2,8,15,70,8.8,0,0,16,49.5,3.1,7.1%
77,Wayne Gallman ,NYG,29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,48.2,4.8,0.9%
78,Jeff Wilson ,SF,27,105,3.9,25,1,4,3,5,34,11.3,1,0,11,46.9,4.3,0.8%
79,Bo Scarbrough ,DET,89,377,4.2,30,2,1,1,4,5,5.0,0,1,6,43.2,7.2,1.7%
80,Mark Walton ,FA,53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,42.0,6.0,1.1%
81,Jonathan Williams ,FA,49,235,4.8,48,1,1,5,5,59,11.8,0,0,5,40.4,8.1,0.6%
82,Ameer Abdullah ,MIN,23,115,5.0,15,0,0,15,21,88,5.9,1,1,16,39.3,2.5,0.2%
83,Dontrell Hilliard ,CLE,13,49,3.8,11,0,2,12,15,92,7.7,0,0,14,38.1,2.7,0.5%
84,CJ Ham ,MIN,7,17,2.4,9,0,0,17,26,149,8.8,1,1,16,37.6,2.4,0.1%
85,Ito Smith ,ATL,22,106,4.8,28,1,1,11,14,87,7.9,0,0,7,36.3,5.2,4.7%
86,Bilal Powell ,FA,59,229,3.9,17,0,0,7,12,33,4.7,0,0,14,33.2,2.4,0.1%
87,Ty Montgomery ,NO,32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,32.3,2.0,0.7%
88,Darwin Thompson ,KC,37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,32.1,2.7,2.8%
89,Myles Gaskin ,MIA,36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,31.4,4.5,0.7%
90,Justin Jackson ,LAC,29,200,6.9,40,3,0,9,11,22,2.4,0,0,7,31.2,4.5,35.1%
91,Qadree Ollison ,ATL,22,50,2.3,6,0,4,1,2,7,7.0,0,0,8,30.7,3.8,1.1%
92,T.J. Yeldon ,BUF,17,63,3.7,12,0,0,13,15,124,9.5,0,1,6,29.7,5.0,0.9%
93,Reggie Bonnafon ,CAR,16,116,7.3,59,1,1,6,10,57,9.5,0,0,16,29.3,1.8,2.0%
94,C.J. Prosise ,FA,23,72,3.1,17,0,1,10,12,76,7.6,0,1,9,28.8,3.2,0.1%
95,Travis Homer ,SEA,18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,28.0,1.8,0.9%
96,Wendell Smallwood ,FA,22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,23.5,1.6,0.1%
97,Darrell Henderson ,LAR,39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,22.4,1.7,78.4%
98,Olamide Zaccheaus ,ATL,0,0,0.0,0,0,0,3,5,115,38.3,1,0,10,20.5,2.1,0.1%
99,Trey Edmunds ,PIT,22,92,4.2,45,1,0,6,7,48,8.0,0,0,9,20.0,2.2,0.1%
100,Alec Ingold ,LV,10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,18.1,1.1,0.0%
101,Dan Vitale ,NE,1,3,3.0,3,0,0,7,12,97,13.9,0,0,15,17.0,1.1,0.0%
102,Darren Sproles ,FA,17,66,3.9,17,0,0,6,10,24,4.0,0,0,6,17.0,2.8,0.1%
103,Wes Hills ,DET,10,21,2.1,15,0,2,2,2,1,0.5,0,0,1,16.2,16.2,0.0%
104,Andy Janovich ,CLE,1,1,1.0,1,0,1,5,5,42,8.4,0,0,8,15.3,1.9,0.1%
105,D'Ernest Johnson ,CLE,4,21,5.3,13,0,0,6,7,71,11.8,0,0,16,15.2,1.0,0.0%
106,Kenjon Barner ,FA,4,28,7.0,12,0,0,6,8,22,3.7,0,1,14,15.1,1.1,0.0%
107,Kerrith Whyte Jr. ,PIT,24,122,5.1,21,1,0,1,1,9,9.0,0,0,6,14.1,2.4,0.1%
108,Derek Watt ,PIT,7,10,1.4,3,0,1,3,5,32,10.7,0,0,16,13.2,0.8,0.2%
109,Devontae Booker ,LV,2,9,4.5,5,0,0,6,9,57,9.5,0,0,16,12.6,0.8,0.4%
110,Spencer Ware ,FA,17,51,3.0,6,0,0,5,7,22,4.4,0,0,3,12.3,4.1,0.1%
111,Mike Davis ,CAR,13,27,2.1,8,0,0,7,8,22,3.1,0,0,11,11.9,1.1,0.7%
112,Zach Line ,FA,7,20,2.9,5,0,0,6,10,36,6.0,0,0,12,11.6,1.0,0.0%
113,Javorius Allen ,FA,10,36,3.6,19,0,1,1,2,9,9.0,0,0,11,11.5,1.0,0.1%
114,Tra Carson ,FA,18,48,2.7,12,0,0,4,4,18,4.5,0,0,4,10.6,2.7,0.0%
115,Patrick DiMarco ,BUF,3,7,2.3,4,0,0,5,7,41,8.2,0,0,16,9.8,0.6,0.1%
116,Alex Armah ,CAR,6,11,1.8,4,0,1,2,2,6,3.0,0,0,16,9.7,0.6,0.0%
117,Marshawn Lynch ,FA,12,34,2.8,15,0,1,0,0,0,0.0,0,0,2,9.4,4.7,0.9%
118,Troymaine Pope ,FA,10,20,2.0,8,0,0,2,3,14,7.0,1,1,14,9.4,0.7,0.0%
119,Khari Blasingame ,TEN,0,0,0.0,0,0,0,4,5,54,13.5,0,0,6,9.4,1.6,0.0%
120,Jonathan Hilliman ,NYG,30,91,3.0,10,0,0,3,4,1,0.3,0,2,3,8.2,2.7,0.0%
121,Devine Ozigbo ,JAC,9,27,3.0,9,0,0,3,5,23,7.7,0,0,10,8.0,0.8,0.2%
122,Dwayne Washington ,NO,8,60,7.5,31,1,0,1,1,6,6.0,0,0,16,7.6,0.5,0.1%
123,Elijhaa Penny ,NYG,15,39,2.6,6,0,0,2,4,9,4.5,0,0,16,6.8,0.4,0.1%
124,Brandon Wilson ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,12,6.0,0.5,19.0%
125,Taiwan Jones ,BUF,9,40,4.4,11,0,0,1,1,9,9.0,0,0,11,5.9,0.5,0.0%
126,Nick Bawden ,DET,0,0,0.0,0,0,0,4,6,17,4.3,0,0,10,5.7,0.6,0.0%
127,Anthony Sherman ,KC,4,9,2.3,5,0,0,2,3,22,11.0,0,0,16,5.1,0.3,0.1%
128,Paul Perkins ,FA,12,29,2.4,13,0,0,1,1,9,9.0,0,0,4,4.8,1.2,0.0%
129,C.J. Anderson ,FA,16,43,2.7,9,0,0,0,0,0,0.0,0,0,2,4.3,2.2,0.6%
130,T.J. Logan ,TB,3,10,3.3,6,0,0,2,3,13,6.5,0,0,12,4.3,0.4,0.1%
131,Tyler Ervin ,GB,1,10,10.0,10,0,0,2,4,11,5.5,0,0,10,4.1,0.4,0.0%
132,Zach Zenner ,FA,3,-2,-0.7,1,0,0,2,3,19,9.5,0,0,6,3.7,0.6,0.1%
133,Keith Smith ,ATL,5,8,1.6,3,0,0,1,4,13,13.0,0,0,16,3.1,0.2,0.0%
134,Jay Ajayi ,FA,10,30,3.0,11,0,0,0,1,0,0.0,0,0,4,3.0,0.8,3.6%
135,Dalyn Dawkins ,TEN,11,26,2.4,14,0,0,0,1,0,0.0,0,0,2,2.6,1.3,0.1%
136,Roosevelt Nix ,IND,0,0,0.0,0,0,0,2,3,4,2.0,0,0,3,2.4,0.8,0.0%
137,Ricky Ortiz ,NO,0,0,0.0,0,0,0,1,1,8,8.0,0,0,2,1.8,0.9,0.0%
138,Samaje Perine ,CIN,5,16,3.2,9,0,0,0,0,0,0.0,0,0,7,1.6,0.2,0.1%
139,Jakob Johnson ,NE,0,0,0.0,0,0,0,1,2,5,5.0,0,0,4,1.5,0.4,0.0%
140,Senorise Perry ,TEN,3,3,1.0,6,0,0,1,1,1,1.0,0,0,11,1.4,0.1,0.0%
141,Damien Harris ,NE,4,12,3.0,13,0,0,0,0,0,0.0,0,0,2,1.2,0.6,9.4%
142,Josh Adams ,NYJ,8,12,1.5,10,0,0,0,0,0,0.0,0,0,2,1.2,0.6,0.2%
143,Dexter Williams ,GB,5,11,2.2,5,0,0,0,0,0,0.0,0,0,4,1.1,0.3,0.3%
144,Buddy Howell ,HOU,5,10,2.0,4,0,0,0,0,0,0.0,0,0,16,1.0,0.1,0.0%
145,John Kelly ,LAR,3,9,3.0,6,0,0,0,0,0,0.0,0,0,5,0.9,0.2,0.2%
146,Josh Ferguson ,WAS,3,9,3.0,7,0,0,0,0,0,0.0,0,0,2,0.9,0.5,0.0%
147,Jordan Scarlett ,CAR,4,9,2.3,6,0,0,0,0,0,0.0,0,0,9,0.9,0.1,0.1%
148,Ryan Nall ,CHI,2,8,4.0,7,0,0,0,0,0,0.0,0,0,8,0.8,0.1,0.1%
149,Tony Brooks-James ,MIN,8,7,0.9,8,0,0,0,0,0,0.0,0,0,3,0.7,0.2,0.0%
150,De'Lance Turner ,FA,4,6,1.5,5,0,0,0,0,0,0.0,0,0,9,0.6,0.1,0.0%
151,Alfred Morris ,FA,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
152,James Develin ,FA,2,3,1.5,2,0,0,0,0,0,0.0,0,0,2,0.3,0.2,0.0%
153,Bralon Addison ,MIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
154,Nathan Cottrell ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
155,J.K. Dobbins ,BAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,59.1%
156,Napoleon Maxwell ,CHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
157,Josh Hokit ,SF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
158,Bobby Holly ,LAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
159,Patrick Carr ,SEA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
160,Jeremy McNichols ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
161,Sewo Olonilua ,DAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
162,Joe Williams ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
163,Elijah McGuire ,KC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
164,Jason Huntley ,DET,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5%
165,Cethan Carter ,CIN,0,0,0.0,0,0,0,2,3,13,6.5,1,0,15,0.0,0.0,0.0%
166,Antonio Williams ,BUF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
167,Tre Madden ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
168,Anthony Jones ,SEA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
169,Ward Jonathan ,ARI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
170,Sirgeo Hoffman ,ARI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
171,Mikey Daniel ,ATL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
172,Jordan Jones ,GB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
173,Brandin Bryant ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
174,Luke Sellers ,DET,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
175,Cameron Scarlett ,TEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
176,Spencer Nigh ,PIT,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
177,Bronson Rechsteiner ,BAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
178,Brian Herrien ,CLE,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
179,Devwah Whaley ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
180,Reggie Gilliam ,BUF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
181,Michael Burton ,NO,0,0,0.0,0,0,0,0,1,0,0.0,0,0,11,0.0,0.0,0.0%
182,Jeremy Langford ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
183,D.J. Foster ,ARI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%
184,Kenneth Dixon ,NYJ,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.3%
185,Alex Collins ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
186,Khalfani Muhammad ,DEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
187,Darius Jackson ,IND,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
188,Rod Smith ,LV,0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.2%
189,Joshua Kelley ,LAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.1%
190,J.J. Taylor ,NE,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
191,Bryce Love ,WAS,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.3%
192,Tavien Feaster ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
193,Javon Leake ,NYG,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
194,Elijah Holyfield ,PHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%
195,Darrynton Evans ,TEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.3%
196,Jacques Patrick ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
197,Michael Warren II ,PHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
198,Anthony McFarland Jr. ,PIT,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,15.3%
199,Elijah Wellman ,GB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
200,Salvon Ahmed ,SF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
201,Connor Slomka ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
202,Johnny Stanton ,CLE,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
203,Aca'Cedric Ware ,TB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
204,Cam Akers ,LAR,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,79.4%
205,Jeremy Cox ,DEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
206,Austin Walter ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
207,Craig Reynolds ,ATL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
208,George Aston ,NYG,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
209,Zack Moss ,BUF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,46.9%
210,Derrick Gore ,LAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
211,D'Andre Swift ,DET,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,84.2%
212,Jonathan Taylor ,IND,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,84.3%
213,Eno Benjamin ,ARI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.0%
214,Clyde Edwards-Helaire ,KC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,92.6%
215,A.J. Dillon ,GB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,23.1%
216,Trayveon Williams ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,11,0.0,0.0,1.0%
217,Rodney Anderson ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%
218,Ke'Shawn Vaughn ,TB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,70.1%
219,Levante Bellamy ,DEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
220,Damarea Crockett ,GB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
221,Lamical Perine ,NYJ,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.1%
222,Karan Higdon ,HOU,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
223,Bruce Anderson ,IND,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
224,Christian Wade ,BUF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
225,Chandler Cox ,MIA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,13,0.0,0.0,0.0%
226,Cullen Gillaspia ,HOU,0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,0.0%
227,Marcus Green ,PHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
228,William Stanback ,LV,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
229,Ty'Son Williams ,BAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
230,Patrick Ricard ,BAL,0,0,0.0,0,0,0,8,11,47,5.9,1,0,16,0.0,0.0,0.1%
231,James Robinson ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%
232,JaMycal Hasty ,SF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%
233,Antonio Gibson ,WAS,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,29.3%
234,Lynn Bowden Jr. ,LV,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.8%
